"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.789338347E0,1.270123959E0,5.881356239E0,1.122641182E1
1.799383372E0,1.321599364E0,5.814318657E0,1.032140350E1
1.809371384E0,1.449689150E0,5.714959621E0,9.441534042E0
1.819386390E0,1.438915253E0,5.588066578E0,8.815450668E0
1.829557893E0,1.323993564E0,5.464765549E0,8.413225174E0
1.839423645E0,1.261744261E0,5.328295708E0,8.070854187E0
1.849398521E0,1.260547161E0,5.159504890E0,7.866149902E0
1.859359459E0,1.221042871E0,4.984727859E0,7.605181694E0
1.869342428E0,9.265560508E-1,4.678270340E0,7.230489254E0
1.879350412E0,6.787561774E-1,4.352658749E0,6.854599476E0
1.889341904E0,6.548141837E-1,4.159925461E0,6.466738701E0
1.899558150E0,6.763619781E-1,4.048594952E0,5.671864033E0
1.909826773E0,8.140285611E-1,3.974374771E0,4.418499470E0
1.919606085E0,1.204283476E0,4.053383350E0,3.008314371E0
1.929492741E0,1.717839718E0,4.247313976E0,1.944091797E0
1.939573569E0,2.076969862E0,4.382586002E0,1.403002143E0
1.949473983E0,2.240972757E0,4.401739597E0,1.222239971E0
1.959384190E0,1.707065821E0,3.643975019E0,2.354697466E0
1.969381793E0,1.440112352E0,3.129221678E0,3.215412855E0
1.979347595E0,1.061828494E0,2.566584110E0,3.787626982E0
1.989334496E0,7.230489254E-1,2.015917778E0,4.011485100E0
1.999312446E0,5.554547906E-1,1.643619418E0,4.232948780E0
2.009305421E0,5.865794420E-1,1.398213744E0,4.574122429E0
2.019287409E0,6.093243361E-1,1.158793569E0,5.020640850E0
2.029308903E0,5.985504389E-1,9.325415492E-1,5.451597214E0
2.039317150E0,6.260837317E-1,7.242460251E-1,5.871779442E0
2.049325273E0,5.111620426E-1,4.632780254E-1,6.284779549E0
2.059303835E0,2.849099934E-1,7.302315533E-2,6.596025467E0
2.069306616E0,1.675941199E-1,-3.387795389E-1,6.860584736E0
2.079328006E0,2.082955539E-1,-6.548141837E-1,7.381323814E0
2.089853201E0,4.189853072E-1,-8.391677141E-1,8.151060104E0
2.099562799E0,7.278373241E-1,-8.379706144E-1,9.026140213E0
2.109449098E0,9.672574997E-1,-7.326257229E-1,1.001853657E1
2.119367247E0,1.005564690E0,-7.362170219E-1,1.088882923E1
2.129341822E0,9.133879542E-1,-8.714894056E-1,1.156159973E1
2.139307609E0,6.236895323E-1,-1.046266198E0,1.311783123E1
2.149292003E0,5.877765417E-1,-9.792284966E-1,1.389355278E1
2.159295700E0,7.158663273E-1,-7.110779285E-1,1.457709694E1
2.169320048E0,9.109937549E-1,-3.124433160E-1,1.534803009E1
2.179295222E0,1.011550188E0,5.746084079E-2,1.587954235E1
