"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.124597773E0,1.601275802E-2,-3.019177198E0,-1.032314301E-1,3.020983961E0
2.134668574E0,-2.489471734E-1,1.810169220E-1,-3.671836853E-2,3.099839669E-1
2.144708857E0,-1.897313595E-1,2.346457720E0,-1.437015533E-1,2.358497818E0
2.154810176E0,6.758195162E-1,2.221381187E0,1.904773712E-2,2.321988203E0
2.164880976E0,7.179650664E-2,-1.815487862E0,5.148591995E-1,1.888446692E0
2.174921260E0,-3.304146230E-1,-2.526832819E0,-1.572837830E-1,2.553193316E0
2.184992060E0,-2.933520079E-1,7.958226800E-1,-2.741279602E-1,8.913670832E-1
2.195093379E0,1.902901232E-1,2.404576540E-1,1.168909073E-1,3.281671808E-1
2.205133662E0,2.545413971E-1,9.985068440E-1,5.744552612E-2,1.032040323E0
2.216150508E0,-1.373794675E-2,1.624821067E0,4.048538208E-2,1.625383431E0
2.225305781E0,1.267432868E-1,-2.850405931E0,2.763624191E-1,2.866575312E0
2.235346064E0,-2.825061977E-1,-1.399159193E0,-1.610174179E-1,1.436447983E0
2.245416865E0,-1.058667302E-1,1.892249823E0,-2.499628067E-1,1.911621971E0
2.255487666E0,4.693379998E-2,1.399856567E0,1.674499512E-1,1.410617126E0
2.265588984E0,3.913786709E-1,7.960072160E-1,8.375167847E-2,8.909652606E-1
2.275629267E0,3.488176465E-1,-2.433066845E0,2.180919647E-1,2.467600480E0
2.285700068E0,-3.773812354E-1,-1.053596377E0,-1.467514038E-1,1.128724013E0
2.295770869E0,-4.249677658E-1,8.145262003E-1,-1.603860855E-1,9.326168717E-1
2.305841670E0,5.554515123E-1,8.388681412E-1,4.805469513E-2,1.007241478E0
2.315912470E0,1.908773184E-2,1.633094668E0,4.471206665E-2,1.633818137E0
2.325983271E0,2.192306817E-1,-2.497130036E-1,4.727840424E-2,3.356395738E-1
2.336054072E0,1.905204952E-1,-3.097345352E0,3.234329224E-1,3.120008837E0
2.346124873E0,-6.038871408E-1,-3.452808857E-1,-1.375083923E-1,7.090889414E-1
2.356195674E0,2.476943433E-1,2.354976654E0,-2.602186203E-1,2.382221916E0
2.366266474E0,2.128138244E-1,2.290947437E0,1.957244873E-1,2.309120603E0
2.376337275E0,-4.770252109E-2,-1.119883657E0,1.284446716E-1,1.128234447E0
2.386408076E0,3.999914825E-1,-2.718258858E0,-9.918403625E-2,2.749320257E0
2.396478877E0,-5.315834284E-1,4.047915936E-1,-1.421642303E-1,6.831162741E-1
2.406549677E0,-3.009454012E-1,4.485734105E-1,4.310226440E-2,5.418893285E-1
2.417444453E0,8.992767334E-1,4.359367490E-1,7.868862152E-2,1.002462663E0
2.426691279E0,-2.716979980E-1,1.716307640E0,2.508106232E-1,1.755687240E0
2.436762080E0,-1.729604006E-1,-1.757527113E0,-2.360601425E-1,1.781724233E0
2.446832881E0,3.199880719E-1,-2.070971489E0,-1.361799240E-1,2.099966725E0
2.456903681E0,-5.852018595E-1,1.734645844E0,-2.691459656E-2,1.830896451E0
2.466974482E0,-3.111072779E-1,1.524646878E0,-2.314281464E-1,1.573179846E0
2.477045283E0,8.882883191E-1,9.721870422E-1,2.547817230E-1,1.341311861E0
2.487116084E0,-6.360471249E-2,-2.842514992E0,1.548824310E-1,2.847441941E0
2.497186885E0,-2.709516287E-1,-8.470731974E-1,-2.842302322E-1,9.336672918E-1
2.507257685E0,-1.670173705E-1,7.347087264E-1,4.288864136E-2,7.546728763E-1
2.517328486E0,2.600967884E-2,7.044216394E-1,9.874820709E-2,7.117847694E-1
2.527399287E0,2.444333732E-1,1.659348726E0,-1.759166718E-1,1.686455616E0
2.537470088E0,2.287630141E-1,-1.488178968E-2,1.840543747E-1,2.939897908E-1
2.547571406E0,-2.093459070E-1,-2.972752094E0,6.913661957E-2,2.980916066E0
2.557611689E0,-1.311981678E-1,-6.472117901E-1,-3.152179718E-2,6.611275854E-1
2.567682490E0,3.461563587E-2,2.424149752E0,-3.255624771E-1,2.446158455E0
2.577753291E0,-3.096565008E-1,2.177862644E0,-1.846790314E-2,2.199844065E0
2.587824092E0,4.655793309E-1,-9.711298347E-1,8.572292328E-2,1.080372940E0
2.597925410E0,2.363282442E-2,-2.794329166E0,2.072687149E-1,2.802105337E0
2.607996211E0,-7.420688868E-1,3.879563808E-1,-5.552911758E-1,1.004751052E0
2.618860468E0,2.824917734E-1,4.432882667E-1,2.119216919E-1,5.667599958E-1
2.628107295E0,5.803065300E-1,3.232105970E-1,1.713008881E-1,6.859772249E-1
2.638178095E0,-5.846674442E-1,1.933671474E0,2.382659912E-2,2.020269561E0
2.648248896E0,3.970336020E-1,-2.088400364E0,-2.208805084E-2,2.125920893E0
2.658350215E0,-1.004782021E-1,-2.396612406E0,2.014055252E-1,2.407158299E0
2.668421015E0,-4.952063262E-1,1.394990921E0,-3.624954224E-1,1.524018342E0
2.678461299E0,3.405835927E-1,2.543873787E0,3.723716736E-2,2.566841957E0
2.688532099E0,1.562409103E-1,1.484136581E0,1.991624832E-1,1.505569098E0
2.698633418E0,2.077324986E-1,-3.029795885E0,8.375644684E-2,3.038063699E0
2.708704218E0,-4.012674093E-3,-1.389151335E0,-1.360101700E-1,1.395799520E0
2.718744502E0,-9.065003395E-1,7.435790300E-1,2.416706085E-2,1.172704859E0
2.728815302E0,5.088893175E-1,3.212909102E-1,1.178264618E-2,6.019427026E-1
2.738886103E0,4.600955248E-1,2.154572725E0,7.157039642E-2,2.204312555E0
2.748987422E0,-5.122463107E-1,7.328003645E-2,3.909397125E-2,5.189360126E-1
2.759027705E0,5.758231282E-1,-3.293704271E0,-2.138137817E-3,3.343660371E0
2.769098506E0,-3.974852562E-1,-1.954573989E-1,1.177043915E-1,4.583147908E-1
2.779169306E0,-4.050629735E-1,2.132969379E0,-3.427362442E-1,2.197976915E0
2.789240107E0,7.228139639E-1,1.776041746E0,1.816368103E-2,1.917580306E0
2.799341426E0,1.091413796E-1,-1.166314840E0,3.722410202E-1,1.229132021E0
2.809381709E0,-2.543858886E-1,-2.344223022E0,-1.545343399E-1,2.363043508E0
2.820459590E0,-1.822594106E-1,1.993190646E-1,-2.789926529E-1,3.883084890E-1
2.829553828E0,1.148513556E-1,1.020660758E0,1.659975052E-1,1.040429906E0
2.839624629E0,-5.857318640E-3,8.165251017E-1,5.283260345E-2,8.182535266E-1
2.849664912E0,3.449640572E-1,8.072438240E-1,5.107116699E-2,8.793469487E-1
2.859766230E0,-3.961515427E-1,-1.375518560E0,9.450435638E-2,1.434544676E0
2.869837031E0,-2.666414678E-1,-2.276834965E0,1.903438568E-2,2.292474086E0
2.879907832E0,4.764801860E-1,1.505554199E0,-2.032060623E-1,1.592174462E0
2.889948115E0,-4.315955937E-1,2.531570435E0,-7.260513306E-2,2.569123416E0
2.900049433E0,3.129829764E-1,7.142766118E-1,1.138086319E-1,7.881001373E-1
2.910120234E0,5.281982422E-1,-3.305912256E0,3.258247375E-1,3.363660356E0
2.920160517E0,-5.366699696E-1,-7.193102837E-1,-1.027898788E-1,9.033203748E-1
2.930231318E0,-3.006407917E-1,1.134778500E0,-1.601047516E-1,1.184795620E0
2.940302119E0,7.514352798E-1,-1.111743450E-1,2.305803299E-1,7.938400364E-1
2.950403437E0,-3.202988207E-1,1.914734602E0,-5.079460144E-2,1.942004125E0
2.960443720E0,-3.652292490E-2,-3.820228577E-2,1.917743683E-2,5.622377401E-2
2.970636592E0,2.939181328E-1,-3.079208851E0,2.627124786E-1,3.104340971E0
2.980615840E0,-7.076063156E-1,-2.224373817E-2,-1.932992935E-1,7.338706280E-1
2.990656123E0,1.937184930E-1,2.296367645E0,-3.257284164E-1,2.327429960E0
3.000757441E0,4.540031552E-1,2.466297388E0,1.393308640E-1,2.511604022E0
3.010828242E0,-2.056976557E-1,-2.170054913E0,3.065261841E-1,2.201228782E0
3.021814570E0,3.699252009E-1,-2.426943302E0,-1.966562271E-1,2.462838224E0
3.030969843E0,-7.203327417E-1,1.610252857E-1,-4.081439972E-2,7.392389442E-1
3.041010127E0,2.977065444E-1,9.275043011E-1,-8.169841766E-2,9.775316090E-1
3.051111445E0,6.019614935E-1,1.707787514E0,7.435321808E-2,1.812298053E0
3.061182246E0,-5.405912995E-1,1.386435032E0,6.031036377E-2,1.489321453E0
3.071222529E0,-2.901640534E-2,-2.661365986E0,-8.229827881E-2,2.662796250E0
3.081293330E0,1.119740903E-1,-2.750865221E0,2.323074341E-1,2.762926782E0
3.091364131E0,-3.581142724E-1,1.262574196E0,-1.769800186E-1,1.324258796E0
3.101495967E0,2.572962642E-1,3.048859596E0,-7.446670532E-2,3.060603126E0
3.111597285E0,5.166121721E-1,1.574801922E0,2.219572067E-1,1.672170515E0
3.122431025E0,-1.607812643E-1,-3.042837381E0,1.532278061E-1,3.050932432E0
3.131830439E0,-1.814706624E-1,-1.379780173E0,-3.390626907E-1,1.432371612E0
3.141992793E0,-3.773513734E-1,7.821528316E-1,-2.920246124E-2,8.689130536E-1
3.152063593E0,2.381251454E-1,-1.552134752E-1,2.280845642E-1,3.644411835E-1
3.162195429E0,4.888317287E-1,1.902253628E0,-1.006441116E-1,1.966635340E0
3.172357783E0,-3.282490075E-1,3.587843776E-1,-3.653335571E-2,4.876559510E-1
