"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.203978104E1,4.028183993E0,3.820173097E-1,-6.908225677E0,8.005984356E0
1.204980004E1,3.279829852E0,2.424167901E-1,-4.505852687E0,5.578418969E0
1.205981904E1,-8.263302702E-1,1.910400544E0,1.656641325E0,2.660246686E0
1.206983904E1,-2.908602994E0,-1.062837279E0,5.472749437E0,6.288130156E0
1.207985804E1,-3.003564992E0,-2.907039156E0,1.769671512E0,4.539164744E0
1.208987704E1,-2.339455049E0,-2.429929163E0,1.267681031E0,3.603417941E0
1.209989604E1,2.373621463E-1,2.557229480E0,3.691270058E0,4.496803091E0
1.210991604E1,2.716173173E0,1.581098807E0,-3.517331765E0,4.716894411E0
1.211993504E1,4.254439079E0,6.946375251E-2,-6.663720846E0,7.906342555E0
1.212995404E1,2.530526707E0,8.151024467E-1,-3.117921327E0,4.097485914E0
1.213997404E1,-1.264676001E0,1.531055996E0,2.330145843E0,3.061554752E0
1.214999304E1,-3.108717810E0,-1.551410739E0,4.998335595E0,6.087229290E0
1.216001204E1,-2.855125237E0,-3.058801884E0,1.808981173E0,4.558554811E0
1.217003104E1,-2.132204437E0,-1.773051787E0,1.220760634E0,3.029895200E0
1.218005104E1,8.099092421E-1,2.969334807E0,3.531851571E0,4.684749480E0
1.219007004E1,3.000208105E0,1.223324053E0,-4.840169581E0,5.824518177E0
1.220008904E1,4.382115664E0,-1.044961756E-1,-6.742813793E0,8.042350092E0
1.221010804E1,1.800117525E0,1.268037127E0,-1.387493988E0,2.602591175E0
1.222012804E1,-1.713873433E0,1.080454355E0,2.942829963E0,3.572812890E0
1.223014704E1,-3.275452918E0,-1.895383725E0,4.479351937E0,5.863929148E0
1.224016604E1,-2.762334017E0,-3.268487130E0,1.576651415E0,4.560627920E0
1.225018383E1,-1.721523930E0,-8.046868014E-1,1.045010873E0,2.168689285E0
1.226020383E1,1.356179079E0,3.047320291E0,3.319596473E0,4.705858412E0
1.227022283E1,3.321263514E0,9.091128105E-1,-5.964568101E0,6.887187384E0
1.228024183E1,4.281428072E0,-2.257545644E-1,-6.593451347E0,7.864807190E0
1.229026083E1,9.818122660E-1,1.672766776E0,-2.475652635E-1,1.955349731E0
1.230028083E1,-2.166748618E0,5.039808726E-1,3.734913676E0,4.347226295E0
1.231029983E1,-3.216896270E0,-2.244888761E0,3.654726130E0,5.361433600E0
1.232031883E1,-2.598837974E0,-3.194662524E0,1.632785854E0,4.430103510E0
1.233033883E1,-1.194188328E0,2.747261649E-1,1.368465979E0,1.836915720E0
1.234035783E1,1.754066901E0,2.713049591E0,1.641650233E0,3.623865928E0
1.235037683E1,3.657657924E0,7.513058156E-1,-6.429606518E0,7.435237850E0
1.236039583E1,3.967677298E0,-2.741455364E-1,-6.005516152E0,7.203044021E0
1.237041583E1,2.569797193E-1,2.023285720E0,6.182144165E-1,2.131176376E0
1.238043483E1,-2.562154882E0,-1.983931035E-1,4.724365475E0,5.378069040E0
1.239045383E1,-3.114750090E0,-2.556374617E0,2.438460835E0,4.709863114E0
1.240047283E1,-2.537198088E0,-2.990299414E0,1.658155754E0,4.257786423E0
1.241049283E1,-5.416683702E-1,1.373749523E0,2.249979347E0,2.691282118E0
1.242051183E1,2.147907427E0,2.223852818E0,-2.885589230E-1,3.105204329E0
1.243053083E1,3.952469859E0,5.135755688E-1,-7.028759011E0,8.080175189E0
1.244054983E1,3.441484022E0,-9.682989120E-3,-4.907031323E0,5.993568423E0
1.245056983E1,-4.692390561E-1,2.030730979E0,1.407622443E0,2.515045635E0
1.246058883E1,-2.806515579E0,-8.293532807E-1,5.231478117E0,5.994390698E0
1.247060783E1,-3.031701209E0,-2.777152616E0,2.147146704E0,4.638321662E0
1.248062683E1,-2.401779936E0,-2.665745616E0,1.156822500E0,3.770011253E0
1.249064683E1,1.183708509E-2,2.186869764E0,3.074370096E0,3.772835931E0
1.250066583E1,2.492712471E0,1.828217928E0,-2.202538548E0,3.795678109E0
1.251068483E1,4.178518538E0,2.394925976E-1,-6.743198540E0,7.936504296E0
1.252070383E1,2.891932290E0,4.699144095E-1,-3.887085124E0,4.867599273E0
1.253072383E1,-1.061418453E0,1.809474678E0,1.976981034E0,2.882579011E0
1.254074283E1,-3.056786349E0,-1.350561220E0,5.433515790E0,6.378953850E0
1.255076183E1,-2.890944695E0,-2.996869345E0,1.704204916E0,4.499233434E0
1.256078183E1,-2.214373458E0,-2.125162343E0,1.071698735E0,3.250892643E0
1.257080083E1,5.370110629E-1,2.845211282E0,3.797437953E0,4.775368376E0
1.258081983E1,2.876773383E0,1.367901723E0,-4.238895718E0,5.302378441E0
1.259083883E1,4.314529452E0,-2.218901396E-2,-6.653207552E0,7.929743217E0
1.260085883E1,2.148360879E0,1.032103145E0,-2.345148629E0,3.343712526E0
1.261087783E1,-1.539749344E0,1.396882862E0,2.662362417E0,3.377911102E0
1.262089683E1,-3.187663407E0,-1.763997958E0,4.739364753E0,5.977831133E0
1.263091583E1,-2.776914634E0,-3.189352083E0,1.833669287E0,4.609291122E0
1.264093583E1,-1.950282355E0,-1.320858534E0,1.013627697E0,2.564314653E0
1.265095483E1,9.897388977E-1,3.038012109E0,3.602407583E0,4.815230114E0
1.266097383E1,3.242905854E0,1.103537993E0,-5.531349063E0,6.506155312E0
1.267099283E1,4.328367473E0,-2.519652933E-1,-6.629856112E0,7.921694488E0
1.268101283E1,1.482672480E0,1.546121348E0,-1.013766861E0,2.369922394E0
1.269103183E1,-1.968969179E0,8.460020578E-1,3.642345235E0,4.226019158E0
1.270105083E1,-3.246085278E0,-2.106613805E0,3.698432897E0,5.352877474E0
1.271107083E1,-2.736350745E0,-3.288406255E0,1.774553937E0,4.631443919E0
1.272108983E1,-1.467657268E0,-3.071442980E-1,1.246118839E0,1.949658339E0
1.273110883E1,1.455389079E0,2.881886773E0,2.681137826E0,4.196656859E0
1.274112783E1,3.562410289E0,8.713590932E-1,-6.271191412E0,7.264838296E0
1.275114783E1,4.127868787E0,-2.965894890E-1,-6.476771328E0,7.686080463E0
1.276116683E1,7.118338940E-1,1.903396749E0,1.422007763E-1,2.037117507E0
1.277118583E1,-2.365218904E0,1.761292452E-1,4.206385199E0,4.828970741E0
1.278120483E1,-3.132078898E0,-2.351181786E0,3.103444791E0,4.996933418E0
1.279122483E1,-2.595485473E0,-3.237774630E0,1.669442049E0,4.472892370E0
1.280124383E1,-9.949116370E-1,7.853009427E-1,1.761217607E0,2.169892669E0
1.281126283E1,1.896953702E0,2.526061481E0,8.417546403E-1,3.269246217E0
1.282128183E1,3.792728898E0,6.358683300E-1,-6.663386385E0,7.693493299E0
1.283130183E1,3.806067858E0,-2.412438387E-1,-5.863403084E0,6.994558375E0
1.284132083E1,-6.064794201E-2,2.087318578E0,1.382056078E0,2.504127797E0
1.285133983E1,-2.643494037E0,-4.419717354E-1,4.793542714E0,5.491944236E0
1.286135883E1,-3.104552253E0,-2.689911574E0,1.986453524E0,4.562879197E0
1.287137883E1,-2.443368549E0,-2.902585332E0,1.499242465E0,4.079556281E0
1.288139783E1,-3.717949149E-1,1.828641851E0,2.875723808E0,3.428111710E0
1.289141683E1,2.345284138E0,1.936875567E0,-1.131268998E0,3.245244859E0
1.290143583E1,4.022308418E0,4.402111387E-1,-6.952112539E0,8.043918175E0
1.291145583E1,3.287847261E0,1.652890921E-1,-4.645264342E0,5.693482318E0
1.292147483E1,-8.519757195E-1,1.986114385E0,1.840205305E0,2.838462355E0
1.293149383E1,-2.807227185E0,-1.097007238E0,5.309419162E0,6.105233918E0
1.294151383E1,-3.043706712E0,-2.887320006E0,1.911726108E0,4.610364853E0
1.295153283E1,-2.262661081E0,-2.442389579E0,9.201155162E-1,3.454202453E0
1.296155183E1,1.924126992E-1,2.582345610E0,3.713546780E0,4.527246535E0
1.297157083E1,2.755981310E0,1.547532281E0,-3.252153518E0,4.535062474E0
1.298159083E1,4.200764855E0,1.421768028E-1,-6.715880349E0,7.922732387E0
1.299160983E1,2.622879678E0,7.147712427E-1,-3.211731716E0,4.207804220E0
