"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.517259978E0,9.583613276E-2,-2.441557646E-1,-2.876892090E-1
2.537300978E0,9.558412433E-2,-2.521107197E-1,-2.549629211E-1
2.557237978E0,9.653782845E-2,-2.599861622E-1,-2.168321609E-1
2.567407978E0,9.397429228E-2,-2.546237707E-1,-2.248239517E-1
2.587235978E0,9.500858188E-2,-2.488888502E-1,-2.445478439E-1
2.607285978E0,8.894091845E-2,-2.543165684E-1,-2.395105362E-1
2.617496978E0,7.982161641E-2,-2.539733648E-1,-2.295293808E-1
2.637216978E0,7.978278399E-2,-2.443202734E-1,-1.965799332E-1
2.647317978E0,8.269762993E-2,-2.291668653E-1,-1.806583405E-1
2.667239978E0,7.834801078E-2,-1.580975056E-1,-1.789731979E-1
2.677274978E0,7.839307189E-2,-1.391532421E-1,-1.572599411E-1
2.699894978E0,6.341786683E-2,-9.141588211E-2,-1.016407013E-1
2.717235978E0,5.364979804E-2,-1.893055439E-2,-8.717060089E-2
2.727313978E0,5.239541829E-2,7.847309113E-3,-6.689929962E-2
2.747239978E0,5.030417442E-2,1.119279861E-1,-3.879928589E-2
2.757372978E0,4.676795006E-2,1.708173752E-1,1.323699951E-2
2.777345978E0,4.715767503E-2,2.895920277E-1,1.619052887E-2
2.787489978E0,5.867262185E-2,3.646675944E-1,4.640579224E-3
2.807223978E0,4.750512540E-2,5.132641792E-1,4.228305817E-2
2.817236978E0,5.566729605E-2,5.899681449E-1,4.356670380E-2
2.837218978E0,6.204010546E-2,7.452389002E-1,1.006755829E-1
2.847476978E0,6.492209435E-2,8.403502107E-1,7.511043549E-2
2.867816978E0,8.602064848E-2,1.082056165E0,5.578708649E-2
2.887351978E0,7.523679733E-2,1.241447806E0,6.241607666E-2
2.907488978E0,9.674423933E-2,1.399917722E0,4.096698761E-2
2.927310978E0,9.217265248E-2,1.503078461E0,-3.137588501E-3
2.937531978E0,1.078400910E-1,1.556312323E0,-3.223419189E-3
2.957326978E0,1.086127162E-1,1.639442086E0,-1.902866364E-2
